track_count,style_genre_discogs400
82,Rock---Alternative Rock
77,"Folk, World, & Country---Folk"
76,Rock---Punk
61,Electronic---House
57,Electronic---Ambient
56,Rock---Pop Rock
54,Hip Hop---Trap
52,Hip Hop---Cloud Rap
47,Rock---Indie Rock
47,Pop---Ballad
40,Hip Hop---Gangsta
37,Latin---Reggaeton
35,Pop---K-pop
33,Electronic---Synth-pop
30,Rock---Hard Rock
29,Rock---Heavy Metal
25,Electronic---Downtempo
23,Funk / Soul---Soul
21,Pop---J-pop
20,Stage & Screen---Soundtrack
19,Hip Hop---Hardcore Hip-Hop
19,Hip Hop---Grime
18,Electronic---Techno
17,Hip Hop---Boom Bap
17,"Folk, World, & Country---African"
16,Rock---Death Metal
16,Electronic---Tropical House
15,Electronic---Experimental
13,Pop---Vocal
13,Jazz---Contemporary Jazz
13,Hip Hop---Conscious
13,"Folk, World, & Country---Laïkó"
13,Electronic---Dubstep
12,Rock---Psychedelic Rock
12,Rock---Dream Pop
12,Rock---Blues Rock
12,Pop---Bollywood
12,Hip Hop---Instrumental
12,"Folk, World, & Country---Flamenco"
12,Electronic---Drum n Bass
12,Electronic---Deep House
12,Classical---Contemporary
12,Classical---Baroque
11,Rock---Power Metal
11,Jazz---Easy Listening
11,Funk / Soul---Neo Soul
11,"Folk, World, & Country---Bluegrass"
11,Electronic---Euro House
11,Electronic---Disco Polo
11,Classical---Neo-Romantic
11,Classical---Choral
10,Rock---Metalcore
10,Latin---Norteño
10,Funk / Soul---Funk
10,"Folk, World, & Country---Indian Classical"
9,Reggae---Reggae
9,Latin---Salsa
9,Latin---Mariachi
9,Latin---Cumbia
9,"Folk, World, & Country---Éntekhno"
9,"Folk, World, & Country---Country"
9,"Folk, World, & Country---Celtic"
9,Electronic---Synthwave
9,Electronic---Progressive House
9,Electronic---Electro
9,Electronic---Chillwave
8,Rock---Hardcore
8,Hip Hop---Horrorcore
8,Electronic---Trance
8,Electronic---Tech Trance
8,Electronic---Chiptune
7,Rock---Doo Wop
7,Rock---Black Metal
7,Non-Music---Audiobook
7,Funk / Soul---Gospel
7,Electronic---Industrial
7,Classical---Romantic
7,Classical---Neo-Classical
7,Children's---Nursery Rhymes
6,Rock---Psychobilly
6,Rock---Nu Metal
6,Rock---Folk Rock
6,Rock---Doom Metal
6,Rock---AOR
6,Pop---Schlager
6,Pop---Parody
6,Latin---Tango
6,Latin---Nueva Cancion
6,Latin---MPB
6,Jazz---Smooth Jazz
6,Hip Hop---RnB/Swing
6,Hip Hop---Crunk
6,"Folk, World, & Country---Soukous"
6,"Folk, World, & Country---Polka"
6,Electronic---Psy-Trance
6,Electronic---Nu-Disco
6,Electronic---Hardstyle
6,Electronic---Hardcore
6,Brass & Military---Brass Band
5,Rock---Power Pop
5,Rock---Folk Metal
5,Reggae---Ska
5,Reggae---Dancehall
5,Non-Music---Spoken Word
5,Non-Music---Religious
5,Funk / Soul---Disco
5,"Folk, World, & Country---Zouk"
5,Electronic---UK Garage
5,Classical---Renaissance
5,Classical---Modern
5,Blues---Rhythm & Blues
4,Stage & Screen---Score
4,Rock---Sludge Metal
4,Rock---Shoegaze
4,Rock---Gothic Metal
4,Rock---Coldwave
4,Reggae---Ragga
4,Reggae---Lovers Rock
4,Pop---Chanson
4,Latin---Forró
4,Hip Hop---G-Funk
4,Hip Hop---Bounce
4,Funk / Soul---New Jack Swing
4,"Folk, World, & Country---Romani"
4,"Folk, World, & Country---Raï"
4,"Folk, World, & Country---Fado"
4,Electronic---Italo-Disco
4,Electronic---Happy Hardcore
4,Electronic---Hands Up
4,Electronic---Freestyle
4,Electronic---Disco
4,Electronic---Bassline
4,Classical---Opera
4,Classical---Medieval
4,Classical---Impressionist
3,Rock---Symphonic Rock
3,Rock---Stoner Rock
3,Rock---Ska
3,Rock---Rock & Roll
3,Rock---Prog Rock
3,Rock---Pop Punk
3,Rock---Melodic Death Metal
3,Rock---Goth Rock
3,Rock---Ethereal
3,Rock---Deathcore
3,Rock---Brit Pop
3,Rock---Beat
3,Reggae---Soca
3,Reggae---Roots Reggae
3,Reggae---Dub
3,Pop---Indie Pop
3,Pop---City Pop
3,Non-Music---Field Recording
3,Non-Music---Comedy
3,Latin---Vallenato
3,Jazz---Swing
3,Jazz---Big Band
3,Jazz---Afrobeat
3,Hip Hop---Ragga HipHop
3,Hip Hop---Jazzy Hip-Hop
3,Hip Hop---Bass Music
3,Electronic---Vaporwave
3,Electronic---Tech House
3,Electronic---New Age
3,Electronic---Minimal Techno
3,Electronic---Juke
3,Electronic---Grime
3,Electronic---Electro House
3,Electronic---Big Beat
3,Children's---Story
3,Children's---Educational
3,Brass & Military---Marches
2,Stage & Screen---Musical
2,Rock---Yé-Yé
2,Rock---Thrash
2,Rock---Speed Metal
2,Rock---Rockabilly
2,Rock---Pub Rock
2,Rock---Post-Metal
2,Rock---Oi
2,Rock---New Wave
2,Rock---Neofolk
2,Rock---Melodic Hardcore
2,Rock---Lo-Fi
2,Rock---Garage Rock
2,Rock---Country Rock
